,text,freq,highlight
0,energy,42,false
1,certain land,33,false
2,land management,32,false
3,natural resources,29,false
4,opportunities,28,false
5,land,25,false
6,access,25,false
7,certain federal land,25,false
8,oversight,21,false
9,trust,20,false
10,reclamation,20,false
11,states,19,false
12,federal lands,18,false
13,federal land,17,false
14,wildlife,15,false
15,challenges,14,false
16,the benefit,13,false
17,management,13,false
18,the office,13,false
19,the impacts,12,false
20,respect,12,false
21,public lands,11,false
22,transparency,11,false
23,secretary,10,false
24,leases,9,false
25,endangered,9,false
26,the authority,9,false
27,a special resource study,9,false
28,development,8,false
29,the transfer,8,false
30,wildlife service,8,false
31,atmospheric administration,8,false
32,indian country,8,false
33,indians,8,false
34,the boundaries,8,false
35,accountability,8,false
36,safety,8,false
37,implementation,7,false
38,operation,7,false
39,the boundary,7,false
40,certain lands,7,false
41,chapter,7,false
42,the rule,7,false
43,congressional disapproval,7,false
44,health,7,false
45,missions,7,false
46,barriers,7,false
47,the feasibility,7,false
48,fish,6,false
49,administrative jurisdiction,6,false
50,the board,6,false
51,directors,6,false
52,the tennessee valley authority,6,false
53,energy efficiency,6,false
54,wilderness,6,false
55,bills,6,false
56,threatened,6,false
57,plants,6,false
58,wildfires,6,false
59,commerce,6,false
60,the treaty,6,false
61,economic development,6,false
62,an act,6,false
63,certain property,6,false
64,the following bill,6,false
65,indian lands,6,false
66,indian affairs,6,false
67,threatened species,6,false
68,the importance,6,false
69,veterans,6,false
70,";
•	h.r.",6,false
71,human services,6,false
72,the confederated tribes,6,false
73,the future,6,false
74,public land,5,false
75,the federal land policy and management act,5,false
76,units,5,false
77,purposes,5,false
78,"municipal, rural, and industrial water",5,false
79,a project,5,false
80,demonstration,5,false
81,renewable energy,5,false
82,indian tribes,5,false
83,the ability,5,false
84,impacts,5,false
85,the national forest system,4,false
86,the mineral leasing and geothermal leasing laws,4,false
87,projects,4,false
88,funds,4,false
89,conservation,4,false
90,the city,4,false
91,the colorado wilderness act,4,false
92,a component,4,false
93,the public land laws,4,false
94,a commemorative work,4,false
95,honor,4,false
96,the definition,4,false
97,the mining laws,4,false
98,robert wallace,4,false
99,disposal,4,false
100,appropriation,4,false
101,all forms,4,false
102,national recreation areas,4,false
103,the maintenance,4,false
104,a report,4,false
105,the states,4,false
106,transportation,4,false
107,enforcement,4,false
108,surface mining reclamation,4,false
109,lanny erdos,4,false
110,nuclear energy,4,false
111,assistant administrator,4,false
