,noun_phrase,Rtotal_frequency,Rhouse_frequency,Rsenate_frequency,phrase_category
14,rep. hageman,21,21,0,lawmaker
22,rep. begich,18,18,0,lawmaker
19,rep. don young,18,18,0,lawmaker
25,rep. curtis,15,15,0,lawmaker
26,rep. westerman,15,15,0,lawmaker
28,rep. rob bishop,14,14,0,lawmaker
35,rep. boebert,14,14,0,lawmaker
39,rep. hurd,13,13,0,lawmaker
42,rep. fulcher,12,12,0,lawmaker
43,rep. mcclintock,12,12,0,lawmaker
49,rep. johnson,11,11,0,lawmaker
53,rep. stauber,10,10,0,lawmaker
54,rep. kennedy,10,10,0,lawmaker
63,rep. graves,9,9,0,lawmaker
82,rep. moore,8,8,0,lawmaker
83,rep. wittman,8,8,0,lawmaker
80,rep. valadao,8,8,0,lawmaker
79,rep. lamalfa,8,8,0,lawmaker
97,rep. scott tipton,7,7,0,lawmaker
103,(rep. gosar,7,7,0,lawmaker
107,rep. ciscomani,7,7,0,lawmaker
108,rep. leger fernandez,7,7,0,lawmaker
115,rep. tom mcclintock,6,6,0,lawmaker
132,rep. stefanik,6,6,0,lawmaker
133,rep. peltola,6,6,0,lawmaker
136,rep. kim,6,6,0,lawmaker
137,rep. tiffany,6,6,0,lawmaker
140,rep. ezell,6,6,0,lawmaker
141,rep. downing,6,6,0,lawmaker
148,(rep. paul cook,5,5,0,lawmaker
149,rep. chris stewart,5,5,0,lawmaker
